"id","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
18192,-122.01,37.37,25,2213,360,1066,390,7.2165,360900,"<1H OCEAN"
8027,-118.11,33.83,36,1784,303,964,299,4.2703,220900,"<1H OCEAN"
17727,-121.8,37.32,23,1829,346,1277,324,4.8092,217400,"<1H OCEAN"
18549,-122.02,36.97,39,2124,661,1365,606,1.6642,281300,"NEAR OCEAN"
1879,-119.96,38.93,22,2731,632,1215,483,2.83,110500,"INLAND"
18775,-122.31,40.47,26,2723,551,1326,547,2.3594,66000,"INLAND"
13164,-121.38,36.85,13,4115,782,2903,747,3.7316,192400,"INLAND"
3002,-119.02,35.3,10,7397,1369,4611,1310,3.6369,81600,"INLAND"
19145,-122.7,38.33,26,1887,381,1060,364,3.0078,160400,"<1H OCEAN"
408,-122.27,37.89,52,3046,373,975,365,8.8342,430500,"NEAR BAY"
6302,-117.96,34.02,33,349,124,460,83,2.375,133300,"<1H OCEAN"
16402,-121.23,37.98,27,849,137,373,131,5.0362,181300,"INLAND"
16942,-122.34,37.55,44,2465,328,843,324,6.9533,500001,"NEAR OCEAN"
3944,-118.61,34.21,34,3494,557,1861,576,5.6407,251500,"<1H OCEAN"
2229,-119.77,36.85,8,1519,234,711,248,5.9897,123600,"INLAND"
17332,-120.08,34.59,24,1874,319,820,315,5.1909,390200,"NEAR OCEAN"
3406,-118.36,34.26,34,3677,573,1598,568,6.838,378000,"<1H OCEAN"
5874,-118.36,34.17,46,1268,240,661,239,4.0742,229100,"<1H OCEAN"
9921,-122.33,38.33,15,3193,468,1303,426,5.3017,202600,"NEAR BAY"
8544,-118.36,33.88,25,2845,710,1611,628,3.2049,267400,"<1H OCEAN"
7907,-118.1,33.86,21,3052,624,1588,568,4.3397,268100,"<1H OCEAN"
17311,-119.5,34.35,39,308,38,59,21,11.7794,500001,"NEAR OCEAN"
13909,-116.4,34.09,9,4855,872,2098,765,3.2723,97800,"INLAND"
15283,-117.3,33.05,34,1797,458,775,391,3.2308,331300,"NEAR OCEAN"
5120,-118.29,33.96,31,4022,1208,3707,1007,1.3096,116300,"<1H OCEAN"
16821,-122.47,37.65,27,8103,1655,5023,1605,4.6452,236200,"NEAR OCEAN"
10322,-117.78,33.86,16,4390,660,2146,633,6.1504,266000,"<1H OCEAN"
660,-122.15,37.71,36,998,178,531,183,4.0208,191500,"NEAR BAY"
16600,-120.7,35.76,15,1914,425,1130,421,2.2165,90600,"<1H OCEAN"
1995,-119.77,36.73,44,1960,393,1286,381,2.1518,53000,"INLAND"
18164,-122.05,37.37,27,3885,661,1537,606,6.6085,344700,"<1H OCEAN"
6258,-117.96,34.05,35,1254,263,1092,268,4.6364,163100,"<1H OCEAN"
7825,-118.13,33.91,36,1967,316,910,306,4.4948,190600,"<1H OCEAN"
8081,-118.19,33.82,11,872,203,422,221,4.6364,156300,"NEAR OCEAN"
14508,-117.21,32.89,14,3114,773,1592,776,3.3176,156100,"NEAR OCEAN"
4964,-118.28,34.01,34,2305,775,2450,740,1.7143,132000,"<1H OCEAN"
14777,-117.08,32.58,22,2128,477,1420,450,3.2687,131000,"NEAR OCEAN"
3541,-118.49,34.26,25,8389,1872,4483,1747,3.5497,261300,"<1H OCEAN"
12648,-121.45,38.5,25,3033,665,1559,627,2.7101,99500,"INLAND"
18089,-122.07,37.33,13,2173,349,891,345,8.0158,420000,"<1H OCEAN"
13852,-117.31,34.51,18,2704,698,1611,597,2.0243,82300,"INLAND"
256,-122.21,37.77,46,1234,375,1183,354,2.3309,98700,"NEAR BAY"
6213,-117.9,34.06,34,2956,469,1488,464,5.3664,268300,"<1H OCEAN"
14919,-117.03,32.61,23,1553,216,778,229,5.1538,171300,"NEAR OCEAN"
9398,-122.54,37.9,41,3170,622,1091,528,3.7813,389200,"NEAR BAY"
14962,-116.92,32.76,7,1659,237,862,242,5.2741,249400,"<1H OCEAN"
8769,-118.38,33.81,36,1018,148,329,169,10.5045,500001,"NEAR OCEAN"
15802,-122.44,37.76,30,5089,1210,1935,1139,4.6053,386100,"NEAR BAY"
13361,-117.64,34.02,6,248,47,119,42,2.125,416700,"INLAND"
8817,-118.32,33.75,37,1080,135,366,142,11.6677,500001,"NEAR OCEAN"
2815,-119.05,35.42,41,1992,421,1006,419,2.8393,57000,"INLAND"
5588,-118.31,33.8,30,3096,757,2048,704,3.125,233300,"<1H OCEAN"
10560,-117.7,33.62,19,2957,492,1639,495,5.0686,225600,"<1H OCEAN"
524,-122.24,37.77,52,1153,235,481,223,2.6411,241000,"NEAR BAY"
8744,-118.32,33.81,28,2142,445,1140,422,4.8438,346200,"<1H OCEAN"
3989,-118.65,34.18,27,1793,339,1016,326,4.925,240300,"<1H OCEAN"
16920,-122.34,37.57,28,3751,949,1691,846,3.9728,3e+05,"NEAR OCEAN"
968,-121.88,37.67,16,4070,624,1543,577,6.5214,311500,"INLAND"
491,-122.25,37.86,52,1389,191,514,202,7.0897,446200,"NEAR BAY"
10262,-117.85,33.88,14,4753,681,2138,678,7.3658,288500,"<1H OCEAN"
18653,-121.97,36.96,27,4001,999,1808,945,2.561,234600,"NEAR OCEAN"
8030,-118.11,33.84,36,1463,257,722,260,4.8438,226300,"<1H OCEAN"
535,-122.27,37.78,45,1169,263,723,286,3.9444,212900,"NEAR BAY"
7995,-118.15,33.85,36,1435,249,606,234,4.1439,212600,"<1H OCEAN"
13072,-121.31,38.57,9,2748,521,1663,565,3.5192,113300,"INLAND"
2208,-119.86,36.81,4,4530,1070,1804,837,3.3942,72100,"INLAND"
12562,-121.46,38.55,40,2077,435,1454,385,2.0074,57000,"INLAND"
8837,-118.37,34.08,28,4376,1202,1847,1128,2.6713,312500,"<1H OCEAN"
18965,-122.03,38.27,24,3580,735,1959,731,2.7284,118500,"INLAND"
1566,-121.93,37.78,2,227,35,114,49,3.1591,434700,"<1H OCEAN"
1593,-122.1,37.9,38,827,144,368,136,6.5095,294400,"NEAR BAY"
13740,-117.18,34.04,38,2492,381,1003,369,3.6875,152800,"INLAND"
18982,-121.98,38.25,4,2487,440,1545,452,4.9103,140400,"INLAND"
9604,-120.49,37.3,50,985,309,621,250,1.3125,60900,"INLAND"
13550,-117.31,34.13,36,1076,283,773,224,2.6307,66400,"INLAND"
16641,-120.66,35.29,23,1932,487,1380,472,1.9647,253600,"NEAR OCEAN"
18353,-122.13,37.39,27,3385,427,1248,409,12.0372,500001,"NEAR BAY"
16723,-120.68,35.48,15,2608,525,1351,502,2.7798,205800,"<1H OCEAN"
9559,-120.57,37.43,39,2235,412,1268,402,2.6758,74600,"INLAND"
6446,-118.04,34.11,44,773,120,405,121,5,447100,"INLAND"
11963,-117.4,34.01,25,1858,366,1311,331,2.7083,87800,"INLAND"
17788,-121.83,37.36,29,4045,885,3036,845,3.1982,171700,"<1H OCEAN"
19131,-122.77,38.29,32,3201,542,1869,519,3.2442,268000,"<1H OCEAN"
18575,-121.75,36.91,42,1368,468,2312,484,2.5599,151400,"<1H OCEAN"
7220,-118.16,34.02,35,1734,493,2053,508,2.1442,149200,"<1H OCEAN"
87,-122.27,37.81,40,880,451,582,380,0.977,118800,"NEAR BAY"
10182,-117.95,33.86,35,2375,439,1343,424,4.53,193500,"<1H OCEAN"
7715,-118.12,33.95,36,2752,459,1211,452,5.0526,269800,"<1H OCEAN"
10742,-117.92,33.61,23,1808,408,539,300,3.5682,500001,"<1H OCEAN"
5896,-118.32,34.17,40,1868,356,799,403,2.9306,279300,"<1H OCEAN"
14496,-117.2,32.85,26,2298,549,980,555,2.4207,213500,"NEAR OCEAN"
8666,-118.39,33.84,16,2472,572,965,529,5.137,348600,"<1H OCEAN"
7299,-118.21,33.98,35,1705,562,2212,539,2.325,161500,"<1H OCEAN"
11551,-117.98,33.75,24,3865,802,2670,772,3.8158,180000,"<1H OCEAN"
15645,-122.42,37.79,52,3457,1021,2286,994,2.565,225000,"NEAR BAY"
6996,-118.03,33.96,37,1180,256,614,242,3.117,164600,"<1H OCEAN"
18308,-122.11,37.42,32,3058,595,1267,540,6.4949,417800,"NEAR BAY"
1911,-120.13,39.06,22,2465,539,381,146,2.875,87500,"INLAND"
17950,-121.96,37.34,36,844,153,373,160,5.791,254100,"<1H OCEAN"
13125,-121.29,38.28,11,1554,260,793,233,4.8073,156700,"INLAND"
9925,-122.32,38.32,26,2710,498,1439,484,5,175200,"NEAR BAY"
16836,-122.51,37.58,20,64,21,59,21,2.2375,450000,"NEAR OCEAN"
4029,-118.56,34.18,39,1819,291,770,278,5.4088,457300,"<1H OCEAN"
12055,-117.57,33.88,35,1755,446,1453,428,2.316,119400,"INLAND"
20071,-120.35,37.99,3,1167,306,422,186,2.4191,217500,"INLAND"
1673,-122.2,38.04,31,3029,500,1236,487,5.6022,197000,"NEAR BAY"
19342,-122.87,38.62,52,1514,348,767,354,2.1903,160000,"<1H OCEAN"
13535,-117.33,34.17,13,3616,665,2189,620,3.7949,106300,"INLAND"
3527,-118.51,34.27,36,2276,429,1001,419,4.1042,252100,"<1H OCEAN"
17824,-121.86,37.38,15,2052,405,1380,409,5.8686,181100,"<1H OCEAN"
5110,-118.31,33.96,43,2149,493,1316,462,1.528,131800,"<1H OCEAN"
217,-122.2,37.79,29,1640,376,939,340,2.8321,150000,"NEAR BAY"
18018,-121.96,37.26,22,1408,351,636,294,1.8542,333300,"<1H OCEAN"
20297,-119.19,34.16,35,2733,510,1814,511,4.4187,183400,"NEAR OCEAN"
2993,-119,35.31,37,1337,275,767,273,1.6522,53300,"INLAND"
6645,-118.15,34.16,20,2410,632,2135,578,1.6887,148600,"<1H OCEAN"
11701,-117.97,33.88,9,1344,279,530,265,5.0731,185100,"<1H OCEAN"
11483,-117.99,33.73,24,2104,421,1181,414,3.8365,250900,"<1H OCEAN"
2249,-119.8,36.82,24,5377,1005,2010,982,3.4542,121200,"INLAND"
11122,-117.92,33.85,38,2082,532,1592,510,2.3704,166100,"<1H OCEAN"
2974,-119.08,35.34,15,1474,235,768,238,4.1528,130100,"INLAND"
11523,-118.08,33.72,14,2021,396,696,367,7.1673,340700,"NEAR OCEAN"
1164,-121.55,39.51,39,1551,353,684,310,2.0357,57600,"INLAND"
5718,-118.24,34.2,41,2067,452,1282,455,5.5756,309900,"<1H OCEAN"
17603,-121.88,37.3,42,1867,398,927,389,4.325,247000,"<1H OCEAN"
17527,-121.9,37.33,52,1009,231,929,210,2.5,162500,"<1H OCEAN"
7204,-118.19,34.02,40,474,124,546,121,2.3438,137500,"<1H OCEAN"
3766,-118.41,34.18,35,1975,384,882,406,4.375,291700,"<1H OCEAN"
862,-121.98,37.58,20,4126,1031,2079,975,3.6832,216900,"<1H OCEAN"
15813,-122.43,37.76,52,3708,849,1531,822,3.3565,386400,"NEAR BAY"
10064,-120.91,39.39,16,352,105,226,82,1.6094,79500,"INLAND"
12120,-117.21,33.97,3,18356,2537,8437,2342,5.6409,197700,"INLAND"
20240,-119.28,34.27,44,706,176,399,149,3.0089,166700,"NEAR OCEAN"
7105,-118,33.9,35,1758,309,972,338,4.3831,209800,"<1H OCEAN"
3482,-118.52,34.3,17,4542,621,2144,597,8.8467,450700,"<1H OCEAN"
5028,-118.34,33.99,46,1217,322,662,305,3.1731,140300,"<1H OCEAN"
11355,-117.91,33.75,8,2346,679,3842,674,3.0635,160000,"<1H OCEAN"
20273,-119.23,34.19,16,5297,810,1489,667,6.4522,500001,"NEAR OCEAN"
20366,-118.92,34.18,17,2400,352,1067,323,6.3522,259300,"<1H OCEAN"
497,-122.26,37.85,52,3618,768,1508,755,3.2619,309600,"NEAR BAY"
813,-122.03,37.62,35,1298,236,632,204,3.8929,209500,"NEAR BAY"
12898,-121.33,38.64,27,2203,493,1158,492,2.4342,119500,"INLAND"
18309,-122.11,37.41,35,2712,428,1084,425,7.1382,443800,"NEAR BAY"
3110,-117.68,35.6,12,1678,241,765,281,6.0532,102800,"INLAND"
10239,-117.88,33.9,21,3180,434,1413,391,6.5945,277300,"<1H OCEAN"
15945,-122.43,37.72,49,3427,696,2363,661,3.6885,254000,"NEAR BAY"
11127,-117.91,33.85,22,1178,289,865,294,3.025,180000,"<1H OCEAN"
15079,-116.97,32.83,23,149,32,101,34,2.6458,112500,"<1H OCEAN"
15718,-122.43,37.79,24,2459,1001,1362,957,2.6782,450000,"NEAR BAY"
12645,-121.46,38.54,36,1825,411,1226,391,1.5292,55700,"INLAND"
14878,-117.09,32.63,33,620,161,420,164,1.8417,150000,"NEAR OCEAN"
9351,-122.57,37.97,47,5416,1115,2177,1027,3.5055,382100,"NEAR BAY"
19659,-120.86,37.52,9,9885,1871,5372,1843,3.4821,127100,"INLAND"
12149,-117.2,33.71,24,4210,920,1283,829,2.0881,83300,"<1H OCEAN"
17867,-121.92,37.45,10,3937,1054,2032,1002,3.2617,252200,"<1H OCEAN"
2497,-120.41,36.77,24,1335,312,1180,267,1.947,68900,"INLAND"
4756,-118.33,34.04,52,2545,401,1004,372,3.6373,420000,"<1H OCEAN"
3639,-118.43,34.22,34,1588,360,1080,340,3.66,184600,"<1H OCEAN"
12086,-117.34,33.89,17,2678,394,1225,367,5.363,211300,"INLAND"
4371,-118.28,34.11,52,2036,348,775,332,5.4122,397500,"<1H OCEAN"
11668,-118.01,33.85,29,3061,612,2396,640,4.6326,195200,"<1H OCEAN"
16120,-122.46,37.78,52,2165,580,1067,530,2.9293,350000,"NEAR BAY"
19066,-122.46,38.29,21,2423,560,1098,503,2.364,173300,"NEAR BAY"
10031,-121.06,39.22,52,1749,422,837,391,2.325,109700,"INLAND"
4929,-118.24,33.99,44,448,116,504,96,1.875,98600,"<1H OCEAN"
3971,-118.56,34.19,34,2185,372,986,347,4.8125,266700,"<1H OCEAN"
12666,-121.44,38.49,31,4297,788,2083,771,3.3878,109300,"INLAND"
13725,-117.19,34.06,37,1467,348,1316,339,1.448,72800,"INLAND"
16252,-121.26,37.96,43,527,133,367,152,2.5,63600,"INLAND"
12588,-121.51,38.53,34,1613,265,631,266,4.25,191900,"INLAND"
59,-122.28,37.82,52,1387,341,1074,304,1.2171,80300,"NEAR BAY"
8940,-118.48,34.01,40,2198,611,1023,567,3.755,398300,"<1H OCEAN"
17513,-121.92,37.34,52,2584,491,1087,433,4.4,391300,"<1H OCEAN"
17233,-119.69,34.43,43,1257,311,671,263,2.875,280600,"<1H OCEAN"
11999,-117.56,33.94,29,266,42,136,40,1.625,164300,"INLAND"
10881,-117.89,33.71,23,1422,260,1092,263,4.7422,202400,"<1H OCEAN"
10469,-117.72,33.54,13,4866,812,1909,733,4.9821,244800,"<1H OCEAN"
12613,-121.52,38.53,30,3377,623,1289,594,3.5737,171200,"INLAND"
12226,-116.9,33.65,15,652,149,248,97,2.1071,93800,"INLAND"
2538,-122.01,39.74,20,2332,518,1856,495,2.1746,58700,"INLAND"
19982,-119.1,36.19,17,1564,396,713,362,1.6186,77100,"INLAND"
10515,-117.69,33.52,3,7374,1444,3214,1279,4.538,278200,"<1H OCEAN"
12778,-121.42,38.64,42,1720,382,1069,362,1.8611,60500,"INLAND"
19716,-121.64,39.28,25,2857,662,2076,685,1.8095,64100,"INLAND"
8008,-118.11,33.85,36,887,163,482,157,4.125,219500,"<1H OCEAN"
2392,-119.33,36.89,15,1879,411,755,294,2,83300,"INLAND"
6822,-118.09,34.08,33,1430,344,1165,328,3.0357,206000,"<1H OCEAN"
16202,-121.27,37.94,38,512,133,676,124,1.7386,52000,"INLAND"
7411,-118.21,33.95,38,1889,565,2087,559,1.7778,154000,"<1H OCEAN"
2985,-119.01,35.34,36,973,219,613,187,1.5625,46700,"INLAND"
7259,-118.16,34.01,36,931,246,732,235,1.7679,142800,"<1H OCEAN"
7245,-118.1,34,32,2122,591,1929,539,2.7311,169300,"<1H OCEAN"
18086,-122.05,37.31,25,4601,696,2003,666,8.0727,455500,"<1H OCEAN"
19115,-122.63,38.21,22,2933,461,1283,449,6.2034,291100,"<1H OCEAN"
18620,-122.02,37.01,20,1005,138,345,129,10.0968,500001,"NEAR OCEAN"
11807,-121.14,38.92,16,2069,312,889,299,4.6771,212000,"INLAND"
13368,-117.58,34,2,7544,1516,2801,1001,4.0037,245200,"INLAND"
11037,-117.82,33.78,28,4485,667,2048,685,5.4562,274700,"<1H OCEAN"
13365,-117.66,34,5,1387,236,855,270,5.411,201100,"INLAND"
12261,-116.96,33.79,21,2990,691,2108,660,2.0135,83000,"INLAND"
17120,-122.14,37.48,36,1210,236,981,239,4.0039,148900,"NEAR BAY"
15851,-122.44,37.74,23,184,44,118,40,4.5375,350000,"NEAR BAY"
2600,-123.72,41.09,19,1970,431,1166,363,1.8208,50000,"<1H OCEAN"
10877,-117.88,33.73,32,1947,355,1786,332,4.5726,177500,"<1H OCEAN"
9493,-123.2,39.23,26,786,168,494,161,2.3583,105400,"<1H OCEAN"
16150,-122.47,37.77,52,3143,635,1350,623,3.8571,366700,"NEAR BAY"
6150,-117.97,34.1,26,1399,277,1285,276,4,160100,"INLAND"
16813,-122.43,37.66,43,1769,387,1102,377,4.5493,281500,"NEAR OCEAN"
3686,-118.37,34.21,36,2080,455,1939,484,4.2875,176600,"<1H OCEAN"
12583,-121.43,38.52,43,2089,399,955,385,2.5898,72100,"INLAND"
15358,-117.33,33.23,15,2919,592,1130,579,2.5872,155600,"NEAR OCEAN"
2078,-119.81,36.76,48,2059,388,834,405,2.9306,67900,"INLAND"
16675,-120.66,35.2,13,5138,713,1838,645,5.9676,380000,"NEAR OCEAN"
9107,-118.02,34.62,38,248,55,261,53,2.1413,96900,"INLAND"
5714,-118.25,34.22,34,2510,535,1516,542,3.8068,267000,"<1H OCEAN"
15318,-117.36,33.2,19,2129,562,1323,525,2.9539,169900,"NEAR OCEAN"
14100,-117.09,32.76,29,1650,496,882,445,2.2287,140000,"NEAR OCEAN"
3947,-118.62,34.22,34,2633,471,1313,428,4.0909,232900,"<1H OCEAN"
15919,-122.42,37.74,52,1540,370,1136,363,4.3125,243000,"NEAR BAY"
5409,-118.45,34.03,41,2083,528,993,481,4.0231,353900,"<1H OCEAN"
5235,-118.23,33.94,39,1141,258,1313,234,2.0187,90100,"<1H OCEAN"
9901,-122.27,38.29,20,3870,795,2088,774,3.3021,152700,"NEAR BAY"
11321,-117.97,33.76,18,1862,399,1301,369,3.1771,194000,"<1H OCEAN"
20412,-118.87,34.19,23,2179,423,1338,406,5.5224,240700,"<1H OCEAN"
17973,-121.95,37.32,20,1145,198,431,173,3.1103,281900,"<1H OCEAN"
9400,-122.56,37.9,48,1550,253,641,276,8.634,463500,"NEAR BAY"
5047,-118.36,34.02,46,3745,798,1502,808,3.8643,195800,"<1H OCEAN"
6875,-118.1,34.07,29,1179,313,1255,308,2.5964,176800,"<1H OCEAN"
15463,-117.22,33.17,6,1487,362,810,322,3.625,135700,"<1H OCEAN"
2724,-115.5,32.75,13,330,72,822,64,3.4107,142500,"INLAND"
20363,-118.95,34.17,23,2630,404,1184,385,5.2955,247600,"<1H OCEAN"
1999,-119.77,36.75,39,1287,332,1386,306,1.5227,46900,"INLAND"
15784,-122.41,37.77,52,849,276,582,222,3.4671,250000,"NEAR BAY"
6633,-118.16,34.17,46,1508,261,674,255,3.5909,155400,"<1H OCEAN"
11370,-117.98,33.71,24,2308,464,1101,407,4.4766,230000,"<1H OCEAN"
5300,-118.45,34.07,13,4284,1452,3806,1252,1.3125,350000,"<1H OCEAN"
3911,-118.53,34.2,26,2221,662,1998,603,2.8701,191100,"<1H OCEAN"
16354,-121.32,38.04,30,249,44,167,45,4.5,92800,"INLAND"
7540,-118.22,33.9,38,796,159,679,167,3.6607,110400,"<1H OCEAN"
16292,-121.24,37.97,47,886,196,517,188,2.1991,67200,"INLAND"
11476,-118.02,33.71,23,5554,995,2408,936,5.3886,331900,"<1H OCEAN"
5650,-118.29,33.74,41,1382,361,905,344,2.75,238300,"NEAR OCEAN"
4284,-118.32,34.09,34,1478,675,1976,653,2.0557,225000,"<1H OCEAN"
18757,-122.36,40.68,28,1745,379,1011,370,2.0391,59800,"INLAND"
19605,-121.09,37.56,32,1717,325,1356,307,2.6705,91900,"INLAND"
17948,-121.96,37.33,35,2294,411,1054,449,4.0667,276900,"<1H OCEAN"
9907,-122.28,38.32,12,4609,1005,2293,960,3.4543,194500,"NEAR BAY"
9551,-120.94,37.4,32,1175,208,774,222,3,109400,"INLAND"
2465,-119.79,36.55,32,1393,276,999,245,2.0216,76800,"INLAND"
19512,-121.02,37.62,30,1721,399,1878,382,2.5363,83900,"INLAND"
4015,-118.57,34.15,22,5791,706,2059,673,10.9201,500001,"<1H OCEAN"
4470,-118.16,34.09,50,1568,302,1093,333,3.1442,162100,"<1H OCEAN"
18269,-122.06,37.36,34,1747,250,662,257,6.8268,500001,"<1H OCEAN"
12180,-117.24,33.77,9,6907,1379,3665,1290,2.8401,104200,"INLAND"
5109,-118.31,33.96,43,2118,569,1266,500,1.747,121000,"<1H OCEAN"
10603,-117.81,33.67,8,2440,502,1113,483,4.6019,242500,"<1H OCEAN"
14143,-117.09,32.75,19,2739,707,2004,622,1.6318,117700,"NEAR OCEAN"
2308,-119.76,36.83,17,3690,628,1888,601,4.0196,84200,"INLAND"
14821,-117.11,32.67,46,928,236,790,235,1.6806,92500,"NEAR OCEAN"
8741,-118.31,33.81,30,1773,356,905,352,4.3056,336000,"<1H OCEAN"
5873,-118.35,34.17,42,1604,326,814,329,4.4408,216000,"<1H OCEAN"
20072,-120.38,37.99,36,2864,603,1155,565,2.3571,113400,"INLAND"
17642,-121.9,37.25,28,2714,502,1389,490,5.7385,240400,"<1H OCEAN"
20011,-119.14,36.06,32,1838,441,1628,425,1.6452,41500,"INLAND"
1073,-121.83,39.74,34,3263,604,1290,594,2.575,130300,"INLAND"
5172,-118.28,33.94,38,637,204,679,162,1.5714,89700,"<1H OCEAN"
3198,-119.67,36.35,10,1090,164,470,158,4.9432,118800,"INLAND"
10230,-117.93,33.86,36,931,279,778,303,2.6563,155000,"<1H OCEAN"
9961,-122.26,38.36,25,1821,344,349,179,6.9931,398800,"INLAND"
9039,-118.09,34.74,34,1218,285,797,248,2.4348,104800,"INLAND"
12856,-121.37,38.67,36,1354,258,771,267,2.2723,78800,"INLAND"
6420,-118.01,34.15,32,6597,1579,3689,1459,3.2377,184100,"INLAND"
11593,-118.04,33.78,26,3642,557,1623,569,5.8426,259400,"<1H OCEAN"
20509,-121.51,38.58,42,1822,636,1372,560,1.2542,76000,"INLAND"
9476,-123.38,39.37,18,3946,813,1899,730,2.6424,124600,"<1H OCEAN"
